p,T,v,u,h,s
5.0,151.86,0.3749,2561.2,2748.7,6.8213
5.0,180.0,0.4045,2609.7,2812.0,6.9656
5.0,200.0,0.4249,2642.9,2855.4,7.0592
5.0,240.0,0.4646,2707.6,2939.9,7.2307
5.0,280.0,0.5034,2771.2,3022.9,7.3865
5.0,320.0,0.5416,2834.7,3105.6,7.5308
5.0,360.0,0.5796,2898.7,3188.4,7.666
5.0,400.0,0.6173,2963.2,3271.9,7.7938
5.0,440.0,0.6548,3028.6,3356.0,7.9152
5.0,500.0,0.7109,3128.4,3483.9,8.0873
5.0,600.0,0.8041,3299.6,3701.7,8.3522
5.0,700.0,0.8969,3477.5,3925.9,8.5952
7.0,164.97,0.2729,2572.5,2763.5,6.708
7.0,180.0,0.2847,2599.8,2799.1,6.788
7.0,200.0,0.2999,2634.8,2844.8,6.8865
7.0,240.0,0.329,2701.2,2932.2,7.0939
7.0,280.0,0.3574,2766.9,3017.1,7.2233
7.0,320.0,0.3852,2832.8,3100.9,7.3697
7.0,360.0,0.4124,2898.5,3184.7,7.5157
7.0,400.0,0.439,2964.4,3268.7,7.6577
7.0,440.0,0.4667,3029.6,3353.3,7.7571
7.0,500.0,0.507,3128.6,3481.7,7.933
7.0,600.0,0.5738,3299.8,3700.2,8.2118
7.0,700.0,0.6403,3476.6,3924.8,8.4391
10.0,179.91,0.1944,2583.6,2778.1,6.5865
10.0,200.0,0.206,2621.9,2827.9,6.654
10.0,240.0,0.2275,2692.9,2920.4,6.8817
10.0,280.0,0.248,2760.2,3008.2,7.0465
10.0,320.0,0.2678,2826.1,3093.9,7.1962
10.0,360.0,0.2873,2891.6,3178.9,7.339
10.0,400.0,0.3066,2957.3,3263.9,7.4651
10.0,440.0,0.3257,3023.6,3349.3,7.5883
10.0,500.0,0.3541,3124.4,3478.5,7.7622
10.0,540.0,0.3729,3191.6,3565.7,7.865
10.0,600.0,0.4011,3296.8,3697.9,8.029
10.0,640.0,0.4198,3367.4,3787.2,8.129
15.0,198.32,0.1318,2594.5,2792.2,6.4448
